Age,Country/Area,Gender,Region,Year,Change,Foreigners Entries
60 - 64,Pakistan,Male,Asia,2017,0.2,378
60 - 64,Pakistan,Male,Asia,2018,0.219576720,461
60 - 64,Pakistan,Male,Asia,2019,0.125813449,519
60 - 64,Pakistan,Male,Asia,2020,-0.585741811,215
60 - 64,Pakistan,Male,Asia,2021,-0.241860465,163
60 - 64,Pakistan,Male,Asia,2022,1.785276074,454
60 - 64,Pakistan,Male,Asia,2023,0.508810573,685
60 - 64,Pakistan,Male,Asia,2024,0.195620438,819
60 - 69,Pakistan,Male,Asia,2013,,223
60 - 69,Pakistan,Male,Asia,2014,0.233183857,275
60 - 69,Pakistan,Male,Asia,2015,0.105454545,304
60 - 69,Pakistan,Male,Asia,2016,0.328947368,404
60 - 69,Pakistan,Male,Asia,2017,0.198019802,484
60 - 69,Pakistan,Male,Asia,2018,0.212809917,587
60 - 69,Pakistan,Male,Asia,2019,0.134582624,666
60 - 69,Pakistan,Male,Asia,2020,-0.609609610,260
60 - 69,Pakistan,Male,Asia,2021,-0.169230769,216
60 - 69,Pakistan,Male,Asia,2022,1.75,594
60 - 69,Pakistan,Male,Asia,2023,0.577441077,937
60 - 69,Pakistan,Male,Asia,2024,0.196371398,"1,121"
65 - 69,Pakistan,Male,Asia,2013,,60
65 - 69,Pakistan,Male,Asia,2014,0.3,78
65 - 69,Pakistan,Male,Asia,2015,0.115384615,87
65 - 69,Pakistan,Male,Asia,2016,0.022988506,89
65 - 69,Pakistan,Male,Asia,2017,0.191011236,106
65 - 69,Pakistan,Male,Asia,2018,0.188679245,126
65 - 69,Pakistan,Male,Asia,2019,0.166666667,147
65 - 69,Pakistan,Male,Asia,2020,-0.693877551,45
65 - 69,Pakistan,Male,Asia,2021,0.177777778,53
65 - 69,Pakistan,Male,Asia,2022,1.641509434,140
65 - 69,Pakistan,Male,Asia,2023,0.8,252
65 - 69,Pakistan,Male,Asia,2024,0.198412698,302
70 - ,Pakistan,Male,Asia,2013,,56
70 - ,Pakistan,Male,Asia,2014,1.428571429,96
70 - ,Pakistan,Male,Asia,2015,0.458333333,118
70 - ,Pakistan,Male,Asia,2016,0.135593220,126
70 - ,Pakistan,Male,Asia,2017,0.095238095,132
70 - ,Pakistan,Male,Asia,2018,0.727272727,180
70 - ,Pakistan,Male,Asia,2019,-0.244444444,158
70 - ,Pakistan,Male,Asia,2020,-1.518987342,38
70 - ,Pakistan,Male,Asia,2021,-0.736842105,24
70 - ,Pakistan,Male,Asia,2022,6.166666667,98
70 - ,Pakistan,Male,Asia,2023,2.489795918,220
70 - ,Pakistan,Male,Asia,2024,0.145454545,236
Total,Pakistan,Female,Asia,2013,,"4,826"
Total,Pakistan,Female,Asia,2014,0.093659345,"5,052"
Total,Pakistan,Female,Asia,2015,0.400633413,"6,064"
Total,Pakistan,Female,Asia,2016,0.233509235,"6,772"
Total,Pakistan,Female,Asia,2017,0.292380390,"7,762"
Total,Pakistan,Female,Asia,2018,0.354032466,"9,136"
Total,Pakistan,Female,Asia,2019,0.214973730,"10,118"
Total,Pakistan,Female,Asia,2020,-1.192725835,"4,084"
Total,Pakistan,Female,Asia,2021,-0.628795299,"2,800"
Total,Pakistan,Female,Asia,2022,3.477142857,"7,668"
Total,Pakistan,Female,Asia,2023,0.900365154,"11,120"
Total,Pakistan,Female,Asia,2024,0.302877698,"12,804"
0 - 4,Pakistan,Female,Asia,2013,,323
0 - 4,Pakistan,Female,Asia,2014,-0.052631579,306
0 - 4,Pakistan,Female,Asia,2015,0.222222222,374
0 - 4,Pakistan,Female,Asia,2016,0.045454545,391
0 - 4,Pakistan,Female,Asia,2017,0.023017903,400
0 - 4,Pakistan,Female,Asia,2018,0.1025,441
0 - 4,Pakistan,Female,Asia,2019,0.072562358,473
0 - 4,Pakistan,Female,Asia,2020,-0.482029598,245
0 - 4,Pakistan,Female,Asia,2021,-0.281632653,176
0 - 4,Pakistan,Female,Asia,2022,1.420454545,426
0 - 4,Pakistan,Female,Asia,2023,0.206572770,514
0 - 4,Pakistan,Female,Asia,2024,0.177042802,605
0 - 9,Pakistan,Female,Asia,2013,,583
0 - 9,Pakistan,Female,Asia,2014,-0.024013722,569
0 - 9,Pakistan,Female,Asia,2015,0.210896309,689
0 - 9,Pakistan,Female,Asia,2016,0.040638607,717
0 - 9,Pakistan,Female,Asia,2017,0.055788006,757
0 - 9,Pakistan,Female,Asia,2018,0.084544254,821
0 - 9,Pakistan,Female,Asia,2019,0.103532278,906
0 - 9,Pakistan,Female,Asia,2020,-0.525386313,430
0 - 9,Pakistan,Female,Asia,2021,-0.283720930,308
0 - 9,Pakistan,Female,Asia,2022,1.584415584,796
0 - 9,Pakistan,Female,Asia,2023,0.213567839,966
0 - 9,Pakistan,Female,Asia,2024,0.170807453,"1,131"
5 - 9,Pakistan,Female,Asia,2013,,260
5 - 9,Pakistan,Female,Asia,2014,0.011538462,263
5 - 9,Pakistan,Female,Asia,2015,0.197718631,315
5 - 9,Pakistan,Female,Asia,2016,0.034920635,326
5 - 9,Pakistan,Female,Asia,2017,0.095092025,357
5 - 9,Pakistan,Female,Asia,2018,0.064425770,380
5 - 9,Pakistan,Female,Asia,2019,0.139473684,433
5 - 9,Pakistan,Female,Asia,2020,-0.572748268,185
5 - 9,Pakistan,Female,Asia,2021,-0.286486486,132
5 - 9,Pakistan,Female,Asia,2022,1.803030303,370
5 - 9,Pakistan,Female,Asia,2023,0.221621622,452
5 - 9,Pakistan,Female,Asia,2024,0.163716814,526
10 - 14,Pakistan,Female,Asia,2013,,165
10 - 14,Pakistan,Female,Asia,2014,-0.042424242,158
10 - 14,Pakistan,Female,Asia,2015,0.373417722,217
10 - 14,Pakistan,Female,Asia,2016,0.170506912,254
10 - 14,Pakistan,Female,Asia,2017,0.011811024,257
10 - 14,Pakistan,Female,Asia,2018,0.280155642,329
10 - 14,Pakistan,Female,Asia,2019,0.072948328,353
10 - 14,Pakistan,Female,Asia,2020,-0.535410765,164
10 - 14,Pakistan,Female,Asia,2021,-0.274390244,119
10 - 14,Pakistan,Female,Asia,2022,1.546218487,303
10 - 14,Pakistan,Female,Asia,2023,0.297029703,393
10 - 14,Pakistan,Female,Asia,2024,0.010178117,397
10 - 19,Pakistan,Female,Asia,2013,,317
10 - 19,Pakistan,Female,Asia,2014,0.053627760,334
10 - 19,Pakistan,Female,Asia,2015,0.200598802,401
10 - 19,Pakistan,Female,Asia,2016,0.104738155,443
10 - 19,Pakistan,Female,Asia,2017,0.119638826,496
10 - 19,Pakistan,Female,Asia,2018,0.296370968,643
10 - 19,Pakistan,Female,Asia,2019,0.071539658,689
10 - 19,Pakistan,Female,Asia,2020,-0.563134978,301
10 - 19,Pakistan,Female,Asia,2021,-0.255813953,224
10 - 19,Pakistan,Female,Asia,2022,1.549107143,571
10 - 19,Pakistan,Female,Asia,2023,0.346760070,769
10 - 19,Pakistan,Female,Asia,2024,0.079323797,830
15 - 19,Pakistan,Female,Asia,2013,,152
15 - 19,Pakistan,Female,Asia,2014,0.157894737,176
15 - 19,Pakistan,Female,Asia,2015,0.045454545,184
15 - 19,Pakistan,Female,Asia,2016,0.027173913,189
15 - 19,Pakistan,Female,Asia,2017,0.264550265,239
15 - 19,Pakistan,Female,Asia,2018,0.313807531,314
15 - 19,Pakistan,Female,Asia,2019,0.070063694,336
15 - 19,Pakistan,Female,Asia,2020,-0.592261905,137
15 - 19,Pakistan,Female,Asia,2021,-0.233576642,105
15 - 19,Pakistan,Female,Asia,2022,1.552380952,268
15 - 19,Pakistan,Female,Asia,2023,0.402985075,376
15 - 19,Pakistan,Female,Asia,2024,0.151595745,433
20 - 24,Pakistan,Female,Asia,2013,,167
20 - 24,Pakistan,Female,Asia,2014,0.257485030,210
20 - 24,Pakistan,Female,Asia,2015,0.195238095,251
20 - 24,Pakistan,Female,Asia,2016,0.135458167,285
20 - 24,Pakistan,Female,Asia,2017,0.122807018,320
20 - 24,Pakistan,Female,Asia,2018,0.203125,385
20 - 24,Pakistan,Female,Asia,2019,0.088311688,419
20 - 24,Pakistan,Female,Asia,2020,-0.551312649,188
20 - 24,Pakistan,Female,Asia,2021,-0.414893617,110
20 - 24,Pakistan,Female,Asia,2022,1.827272727,311
20 - 24,Pakistan,Female,Asia,2023,0.450160772,451
20 - 24,Pakistan,Female,Asia,2024,0.230598670,555
20 - 29,Pakistan,Female,Asia,2013,,480
20 - 29,Pakistan,Female,Asia,2014,0.0625,510
20 - 29,Pakistan,Female,Asia,2015,0.219607843,622
20 - 29,Pakistan,Female,Asia,2016,0.106109325,688
20 - 29,Pakistan,Female,Asia,2017,0.082848837,745
20 - 29,Pakistan,Female,Asia,2018,0.233557047,919
20 - 29,Pakistan,Female,Asia,2019,0.095756257,"1,007"
20 - 29,Pakistan,Female,Asia,2020,-0.561072493,442
20 - 29,Pakistan,Female,Asia,2021,-0.348416290,288
20 - 29,Pakistan,Female,Asia,2022,1.600694444,749
20 - 29,Pakistan,Female,Asia,2023,0.489986649,"1,116"
20 - 29,Pakistan,Female,Asia,2024,0.239247312,"1,383"
25 - 29,Pakistan,Female,Asia,2013,,313
25 - 29,Pakistan,Female,Asia,2014,-0.041533546,300
25 - 29,Pakistan,Female,Asia,2015,0.236666667,371
25 - 29,Pakistan,Female,Asia,2016,0.086253369,403
25 - 29,Pakistan,Female,Asia,2017,0.054590571,425
25 - 29,Pakistan,Female,Asia,2018,0.256470588,534
25 - 29,Pakistan,Female,Asia,2019,0.101123596,588
25 - 29,Pakistan,Female,Asia,2020,-0.568027211,254
25 - 29,Pakistan,Female,Asia,2021,-0.299212598,178
25 - 29,Pakistan,Female,Asia,2022,1.460674157,438
25 - 29,Pakistan,Female,Asia,2023,0.518264840,665
25 - 29,Pakistan,Female,Asia,2024,0.245112782,828
30 - 34,Pakistan,Female,Asia,2013,,318
30 - 34,Pakistan,Female,Asia,2014,0.062893082,338
30 - 34,Pakistan,Female,Asia,2015,0.068047337,361
30 - 34,Pakistan,Female,Asia,2016,0.157894737,418
30 - 34,Pakistan,Female,Asia,2017,0.165071770,487
30 - 34,Pakistan,Female,Asia,2018,0.139630390,555
30 - 34,Pakistan,Female,Asia,2019,0.120720721,622
30 - 34,Pakistan,Female,Asia,2020,-0.627009646,232
30 - 34,Pakistan,Female,Asia,2021,-0.331896552,155
30 - 34,Pakistan,Female,Asia,2022,1.664516129,413
30 - 34,Pakistan,Female,Asia,2023,0.610169492,665
30 - 34,Pakistan,Female,Asia,2024,0.183458647,787
30 - 39,Pakistan,Female,Asia,2013,,533
30 - 39,Pakistan,Female,Asia,2014,0.114446529,594
30 - 39,Pakistan,Female,Asia,2015,0.148148148,682
30 - 39,Pakistan,Female,Asia,2016,0.137829912,776
30 - 39,Pakistan,Female,Asia,2017,0.166237113,905
30 - 39,Pakistan,Female,Asia,2018,0.150276243,"1,041"
30 - 39,Pakistan,Female,Asia,2019,0.116234390,"1,162"
30 - 39,Pakistan,Female,Asia,2020,-0.632530120,427
30 - 39,Pakistan,Female,Asia,2021,-0.348946136,278
30 - 39,Pakistan,Female,Asia,2022,1.852517986,793
30 - 39,Pakistan,Female,Asia,2023,0.525851198,"1,210"
30 - 39,Pakistan,Female,Asia,2024,0.172727273,"1,419"
35 - 39,Pakistan,Female,Asia,2013,,215
35 - 39,Pakistan,Female,Asia,2014,0.190697674,256
35 - 39,Pakistan,Female,Asia,2015,0.25390625,321
35 - 39,Pakistan,Female,Asia,2016,0.115264798,358
35 - 39,Pakistan,Female,Asia,2017,0.167597765,418
35 - 39,Pakistan,Female,Asia,2018,0.162679426,486
35 - 39,Pakistan,Female,Asia,2019,0.111111111,540
35 - 39,Pakistan,Female,Asia,2020,-0.638888889,195
35 - 39,Pakistan,Female,Asia,2021,-0.369230769,123
35 - 39,Pakistan,Female,Asia,2022,2.089430894,380
35 - 39,Pakistan,Female,Asia,2023,0.434210526,545
35 - 39,Pakistan,Female,Asia,2024,0.159633028,632
40 - 44,Pakistan,Female,Asia,2013,,171
40 - 44,Pakistan,Female,Asia,2014,-0.093567251,155
40 - 44,Pakistan,Female,Asia,2015,0.251612903,194
40 - 44,Pakistan,Female,Asia,2016,0.206185567,234
40 - 44,Pakistan,Female,Asia,2017,0.269230769,297
40 - 44,Pakistan,Female,Asia,2018,0.148148148,341
40 - 44,Pakistan,Female,Asia,2019,0.255131965,428
40 - 44,Pakistan,Female,Asia,2020,-0.651869159,149
40 - 44,Pakistan,Female,Asia,2021,-0.328859060,100
40 - 44,Pakistan,Female,Asia,2022,2.28,328
40 - 44,Pakistan,Female,Asia,2023,0.432926829,470
40 - 44,Pakistan,Female,Asia,2024,0.189361702,559
40 - 49,Pakistan,Female,Asia,2013,,294
40 - 49,Pakistan,Female,Asia,2014,-0.081632653,270
40 - 49,Pakistan,Female,Asia,2015,0.296296296,350
40 - 49,Pakistan,Female,Asia,2016,0.231428571,431
