Country/Area,Month (abbr),Year,Growth Rate(%),Visitor Arrivals
Pakistan,Nov.,2012,41.374045802,926
Pakistan,Dec.,2012,9.135399674,669
Pakistan,Jan.,2013,-9.417596035,731
Pakistan,Feb.,2013,9.777015437,640
Pakistan,Mar.,2013,-6.017191977,656
Pakistan,Apr.,2013,-11.503267974,677
Pakistan,May,2013,0.256410256,782
Pakistan,Jun.,2013,-5.817782656,858
Pakistan,Jul.,2013,-15.696202532,666
Pakistan,Aug.,2013,13.937282230,654
Pakistan,Sep.,2013,-9.937888199,870
Pakistan,Oct.,2013,6.602475928,775
Pakistan,Nov.,2013,14.038876890,"1,056"
Pakistan,Dec.,2013,-3.437967115,646
Pakistan,Jan.,2014,0.136798906,732
Pakistan,Feb.,2014,7.8125,690
Pakistan,Mar.,2014,27.286585366,835
Pakistan,Apr.,2014,9.158050222,739
Pakistan,May,2014,-2.941176471,759
Pakistan,Jun.,2014,13.636363636,975
Pakistan,Jul.,2014,-32.732732733,448
Pakistan,Aug.,2014,39.602446483,913
Pakistan,Sep.,2014,-4.712643678,829
Pakistan,Oct.,2014,12.387096774,871
Pakistan,Nov.,2014,-21.685606061,827
Pakistan,Dec.,2014,-17.492260062,533
Pakistan,Jan.,2015,20.491803279,882
Pakistan,Feb.,2015,6.811594203,737
Pakistan,Mar.,2015,1.556886228,848
Pakistan,Apr.,2015,9.607577808,810
Pakistan,May,2015,26.613965744,961
Pakistan,Jun.,2015,-11.384615385,864
Pakistan,Jul.,2015,79.910714286,806
Pakistan,Aug.,2015,15.224534502,"1,052"
Pakistan,Sep.,2015,-17.370325694,685
Pakistan,Oct.,2015,40.068886338,"1,220"
Pakistan,Nov.,2015,24.425634825,"1,029"
Pakistan,Dec.,2015,18.386491557,631
Pakistan,Jan.,2016,8.390022676,956
Pakistan,Feb.,2016,27.951153324,943
Pakistan,Mar.,2016,10.613207547,938
Pakistan,Apr.,2016,37.037037037,"1,110"
Pakistan,May,2016,11.134235172,"1,068"
Pakistan,Jun.,2016,4.398148148,902
Pakistan,Jul.,2016,45.533498759,"1,173"
Pakistan,Aug.,2016,-19.391634981,848
Pakistan,Sep.,2016,40.291970803,961
Pakistan,Oct.,2016,6.065573770,"1,294"
Pakistan,Nov.,2016,7.677356657,"1,108"
Pakistan,Dec.,2016,8.874801902,687
Pakistan,Jan.,2017,23.535564854,"1,181"
Pakistan,Feb.,2017,-6.150583245,885
Pakistan,Mar.,2017,14.925373134,"1,078"
Pakistan,Apr.,2017,3.873873874,"1,153"
Pakistan,May,2017,7.490636704,"1,148"
Pakistan,Jun.,2017,-15.853658537,759
Pakistan,Jul.,2017,35.635123615,"1,591"
Pakistan,Aug.,2017,16.273584906,986
Pakistan,Sep.,2017,37.565036420,"1,322"
Pakistan,Oct.,2017,14.992272025,"1,488"
Pakistan,Nov.,2017,3.790613718,"1,150"
Pakistan,Dec.,2017,43.813682678,988
Pakistan,Jan.,2018,10.414902625,"1,304"
Pakistan,Feb.,2018,30.508474576,"1,155"
Pakistan,Mar.,2018,23.747680891,"1,334"
Pakistan,Apr.,2018,39.028620989,"1,603"
Pakistan,May,2018,-6.097560976,"1,078"
Pakistan,Jun.,2018,61.133069829,"1,223"
Pakistan,Jul.,2018,-2.451288498,"1,552"
Pakistan,Aug.,2018,8.519269777,"1,070"
Pakistan,Sep.,2018,27.080181543,"1,680"
Pakistan,Oct.,2018,-6.854838710,"1,386"
Pakistan,Nov.,2018,10.434782609,"1,270"
Pakistan,Dec.,2018,16.093117409,"1,147"
Pakistan,Jan.,2019,6.825153374,"1,393"
Pakistan,Feb.,2019,9.783549784,"1,268"
